function( n, i ) ... end
[ [ 32, 2 ], [ 32, 24 ], [ 32, 13 ], [ 32, 15 ], [ 32, 27 ], [ 32, 34 ], 
  [ 32, 30 ], [ 32, 31 ], [ 32, 37 ], [ 32, 38 ], [ 32, 40 ], [ 32, 42 ], 
  [ 50, 1 ], [ 50, 4 ] ]
Group,Order,CenterSize,ClassSizes
SmallGroup(32,2),32,8,"1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2"
SmallGroup(32,24),32,8,"1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2"
SmallGroup(32,13),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,15),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,27),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,34),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,30),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,31),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,37),32,8,"1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2"
SmallGroup(32,38),32,8,"1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2"
SmallGroup(32,40),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(32,42),32,4,"1,1,1,1,2,2,2,2,2,2,4,4,4,4"
SmallGroup(50,1),50,1,"1,2,2,2,2,2,2,2,2,2,2,2,2,25"
SmallGroup(50,4),50,1,"1,2,2,2,2,2,2,2,2,2,2,2,2,25"
