function( n, i ) ... end
[ [ 32, 2 ], [ 32, 24 ], [ 32, 13 ], [ 32, 15 ], [ 32, 27 ], [ 32, 34 ], 
  [ 32, 30 ], [ 32, 31 ], [ 32, 37 ], [ 32, 38 ], [ 32, 40 ], [ 32, 42 ], 
  [ 50, 1 ], [ 50, 4 ] ]
Group,Order,ElementOrders
SmallGroup(32,2),32,"1:1,2:7,4:24"
SmallGroup(32,24),32,"1:1,2:7,4:24"
SmallGroup(32,13),32,"1:1,2:3,4:20,8:8"
SmallGroup(32,15),32,"1:1,2:3,4:4,8:24"
SmallGroup(32,27),32,"1:1,2:19,4:12"
SmallGroup(32,34),32,"1:1,2:19,4:12"
SmallGroup(32,30),32,"1:1,2:11,4:20"
SmallGroup(32,31),32,"1:1,2:11,4:20"
SmallGroup(32,37),32,"1:1,2:7,4:8,8:16"
SmallGroup(32,38),32,"1:1,2:7,4:8,8:16"
SmallGroup(32,40),32,"1:1,2:11,4:12,8:8"
SmallGroup(32,42),32,"1:1,2:11,4:12,8:8"
SmallGroup(50,1),50,"1:1,2:25,5:4,25:20"
SmallGroup(50,4),50,"1:1,2:25,5:24"
