order,index,abelian,inv1,inv3,inv5,inv6,inv13,invA,invB,invC
1,1,true,1,1,1,1,1,1,1,1
2,1,true,4,4,2,4,4,4,2,2
3,1,true,9,3,9,3,3,3,3,3
4,1,true,16,8,4,16,8,8,4,4
4,2,true,16,16,4,16,16,16,4,4
5,1,true,25,5,5,5,5,5,25,5
6,1,false,18,18,12,18,24,12,6,6
6,2,true,36,12,18,12,12,12,6,6
7,1,true,49,7,7,7,7,7,7,49
8,1,true,64,16,8,32,16,16,8,8
8,2,true,64,32,8,64,32,32,8,8
8,3,false,40,40,8,64,48,32,8,8
8,4,false,40,40,8,64,16,16,8,8
8,5,true,64,64,8,64,64,64,8,8
9,1,true,81,9,27,9,9,9,9,9
9,2,true,81,9,81,9,9,9,9,9
10,1,false,40,40,10,40,60,20,50,10
10,2,true,100,20,10,20,20,20,50,10
11,1,true,121,11,11,11,11,11,11,11
12,1,false,72,48,24,72,24,24,12,12
12,2,true,144,24,36,48,24,24,12,12
12,3,false,48,24,84,24,48,24,12,12
12,4,false,72,72,24,72,96,48,12,12
12,5,true,144,48,36,48,48,48,12,12
13,1,true,169,13,13,13,13,13,13,13
14,1,false,70,70,14,70,112,28,14,56
14,2,true,196,28,14,28,28,28,14,98
15,1,true,225,15,45,15,15,15,75,15
16,1,true,256,32,16,64,32,32,16,16
16,2,true,256,64,16,256,64,64,16,16
16,3,false,160,96,16,256,128,96,16,16
16,4,false,160,96,16,256,64,64,16,16
16,5,true,256,64,16,128,64,64,16,16
16,6,false,160,64,16,128,64,48,16,16
16,7,false,112,112,16,160,160,64,16,16
16,8,false,112,80,16,160,96,48,16,16
16,9,false,112,112,16,160,32,32,16,16
16,10,true,256,128,16,256,128,128,16,16
16,11,false,160,160,16,256,192,128,16,16
16,12,false,160,160,16,256,64,64,16,16
16,13,false,160,128,16,256,128,80,16,16
16,14,true,256,256,16,256,256,256,16,16
17,1,true,289,17,17,17,17,17,17,17
18,1,false,108,108,36,108,180,36,18,18
18,2,true,324,36,54,36,36,36,18,18
18,3,false,162,54,108,54,72,36,18,18
18,4,false,108,108,90,108,180,36,18,18
18,5,true,324,36,162,36,36,36,18,18
19,1,true,361,19,19,19,19,19,19,19
20,1,false,160,120,20,160,40,40,100,20
20,2,true,400,40,20,80,40,40,100,20
20,3,false,100,60,20,260,120,40,100,20
20,4,false,160,160,20,160,240,80,100,20
20,5,true,400,80,20,80,80,80,100,20
21,1,false,105,21,231,21,21,21,21,63
21,2,true,441,21,63,21,21,21,21,147
22,1,false,154,154,22,154,264,44,22,22
22,2,true,484,44,22,44,44,44,22,22
23,1,true,529,23,23,23,23,23,23,23
24,1,false,288,96,48,192,48,48,24,24
24,2,true,576,48,72,96,48,48,24,24
24,3,false,168,72,168,96,48,48,24,24
24,4,false,216,216,48,288,48,48,24,24
24,5,false,288,144,48,288,192,96,24,24
24,6,false,216,216,48,288,336,96,24,24
24,7,false,288,192,48,288,96,96,24,24
24,8,false,216,168,48,288,240,96,24,24
24,9,true,576,96,72,192,96,96,24,24
24,10,false,360,120,72,192,144,96,24,24
24,11,false,360,120,72,192,48,48,24,24
24,12,false,120,120,96,264,240,72,24,24
24,13,false,192,96,168,96,192,96,24,24
24,14,false,288,288,48,288,384,192,24,24
24,15,true,576,192,72,192,192,192,24,24
25,1,true,625,25,25,25,25,25,125,25
25,2,true,625,25,25,25,25,25,625,25
26,1,false,208,208,26,208,364,52,26,26
26,2,true,676,52,26,52,52,52,26,26
27,1,true,729,27,81,27,27,27,27,27
27,2,true,729,27,243,27,27,27,27,27
27,3,false,297,27,729,27,27,27,27,27
27,4,false,297,27,243,27,27,27,27,27
27,5,true,729,27,729,27,27,27,27,27
28,1,false,280,224,28,280,56,56,28,112
28,2,true,784,56,28,112,56,56,28,196
28,3,false,280,280,28,280,448,112,28,112
28,4,true,784,112,28,112,112,112,28,196
29,1,true,841,29,29,29,29,29,29,29
30,1,false,450,90,60,90,120,60,150,30
30,2,false,360,120,90,120,180,60,150,30
30,3,false,270,270,60,270,480,60,150,30
30,4,true,900,60,90,60,60,60,150,30
31,1,true,961,31,31,31,31,31,31,31
32,1,true,1024,64,32,128,64,64,32,32
32,2,false,640,256,32,1024,256,256,32,32
32,3,true,1024,128,32,512,128,128,32,32
32,4,false,640,128,32,512,128,128,32,32
32,5,false,640,192,32,512,256,192,32,32
32,6,false,352,224,32,1024,384,192,32,32
32,7,false,352,224,32,512,384,160,32,32
32,8,false,352,224,32,512,128,96,32,32
32,9,false,448,256,32,640,384,192,32,32
32,10,false,448,256,32,640,128,128,32,32
32,11,false,448,192,32,640,256,128,32,32
32,12,false,640,192,32,512,128,128,32,32
32,13,false,448,192,32,640,128,128,32,32
32,14,false,448,320,32,640,128,128,32,32
32,15,false,448,192,32,640,128,96,32,32
32,16,true,1024,128,32,256,128,128,32,32
32,17,false,640,128,32,256,128,96,32,32
32,18,false,352,352,32,448,576,128,32,32
32,19,false,352,224,32,448,320,96,32,32
32,20,false,352,352,32,448,64,64,32,32
32,21,true,1024,256,32,1024,256,256,32,32
32,22,false,640,384,32,1024,512,384,32,32
32,23,false,640,384,32,1024,256,256,32,32
32,24,false,640,256,32,1024,256,192,32,32
32,25,false,640,320,32,1024,384,256,32,32
32,26,false,640,320,32,1024,128,128,32,32
32,27,false,448,448,32,1024,640,352,32,32
32,28,false,448,384,32,1024,512,256,32,32
32,29,false,448,384,32,1024,256,192,32,32
32,30,false,448,320,32,1024,384,224,32,32
32,31,false,448,320,32,1024,384,192,32,32
32,32,false,448,320,32,1024,128,128,32,32
32,33,false,448,256,32,1024,256,160,32,32
32,34,false,448,448,32,1024,640,256,32,32
32,35,false,448,448,32,1024,128,128,32,32
32,36,true,1024,256,32,512,256,256,32,32
32,37,false,640,256,32,512,256,192,32,32
32,38,false,640,256,32,512,256,160,32,32
32,39,false,448,448,32,640,640,256,32,32
32,40,false,448,320,32,640,384,192,32,32
32,41,false,448,448,32,640,128,128,32,32
32,42,false,448,320,32,640,384,160,32,32
32,43,false,352,352,32,640,512,192,32,32
32,44,false,352,352,32,640,256,128,32,32
32,45,true,1024,512,32,1024,512,512,32,32
32,46,false,640,640,32,1024,768,512,32,32
32,47,false,640,640,32,1024,256,256,32,32
32,48,false,640,512,32,1024,512,320,32,32
32,49,false,544,544,32,1024,640,352,32,32
32,50,false,544,544,32,1024,384,224,32,32
32,51,true,1024,1024,32,1024,1024,1024,32,32
33,1,true,1089,33,99,33,33,33,33,33
34,1,false,340,340,34,340,612,68,34,34
34,2,true,1156,68,34,68,68,68,34,34
35,1,true,1225,35,35,35,35,35,175,245
36,1,false,432,360,72,432,72,72,36,36
36,2,true,1296,72,108,144,72,72,36,36
36,3,false,432,72,324,72,144,72,36,36
36,4,false,432,432,72,432,720,144,36,36
36,5,true,1296,144,108,144,144,144,36,36
36,6,false,648,144,216,216,72,72,36,36
36,7,false,432,360,180,432,72,72,36,36
36,8,true,1296,72,324,144,72,72,36,36
36,9,false,216,144,108,792,360,72,36,36
36,10,false,324,324,144,324,576,144,36,36
36,11,false,432,72,756,72,144,72,36,36
36,12,false,648,216,216,216,288,144,36,36
36,13,false,432,432,180,432,720,144,36,36
36,14,true,1296,144,324,144,144,144,36,36
37,1,true,1369,37,37,37,37,37,37,37
38,1,false,418,418,38,418,760,76,38,38
38,2,true,1444,76,38,76,76,76,38,38
39,1,false,273,39,741,39,39,39,39,39
39,2,true,1521,39,117,39,39,39,39,39
40,1,false,640,240,40,480,80,80,200,40
40,2,true,1600,80,40,160,80,80,200,40
40,3,false,400,160,40,560,80,80,200,40
40,4,false,520,520,40,640,80,80,200,40
40,5,false,640,320,40,640,480,160,200,40
40,6,false,520,520,40,640,880,160,200,40
40,7,false,640,480,40,640,160,160,200,40
40,8,false,520,360,40,640,560,160,200,40
40,9,true,1600,160,40,320,160,160,200,40
40,10,false,1000,200,40,320,240,160,200,40
40,11,false,1000,200,40,320,80,80,200,40
40,12,false,400,240,40,1040,480,160,200,40
40,13,false,640,640,40,640,960,320,200,40
40,14,true,1600,320,40,320,320,320,200,40
41,1,true,1681,41,41,41,41,41,41,41
42,1,false,294,126,294,126,336,84,42,84
42,2,false,420,84,462,84,84,84,42,126
42,3,false,882,126,84,126,168,84,42,294
42,4,false,630,210,126,210,336,84,42,168
42,5,false,504,504,84,504,924,84,42,168
42,6,true,1764,84,126,84,84,84,42,294
43,1,true,1849,43,43,43,43,43,43,43
44,1,false,616,528,44,616,88,88,44,44
44,2,true,1936,88,44,176,88,88,44,44
44,3,false,616,616,44,616,1056,176,44,44
44,4,true,1936,176,44,176,176,176,44,44
45,1,true,2025,45,135,45,45,45,225,45
45,2,true,2025,45,405,45,45,45,225,45
46,1,false,598,598,46,598,1104,92,46,46
46,2,true,2116,92,46,92,92,92,46,46
47,1,true,2209,47,47,47,47,47,47,47
48,1,false,1152,192,96,384,96,96,48,48
48,2,true,2304,96,144,192,96,96,48,48
48,3,false,384,96,1104,288,192,96,48,48
48,4,false,1152,288,96,576,384,192,48,48
48,5,false,864,288,96,576,384,144,48,48
48,6,false,720,432,96,864,672,144,48,48
48,7,false,720,720,96,864,1248,192,48,48
48,8,false,720,720,96,864,96,96,48,48
48,9,false,1152,384,96,768,192,192,48,48
48,10,false,864,384,96,768,192,144,48,48
48,11,false,1152,384,96,1152,192,192,48,48
48,12,false,864,480,96,1152,192,192,48,48
48,13,false,864,672,96,1152,192,192,48,48
48,14,false,864,480,96,1152,768,288,48,48
48,15,false,576,480,96,672,864,192,48,48
48,16,false,576,384,96,672,288,144,48,48
48,17,false,576,384,96,672,672,144,48,48
48,18,false,576,480,96,672,96,96,48,48
48,19,false,864,480,96,1152,384,288,48,48
48,20,true,2304,192,144,768,192,192,48,48
48,21,false,1440,288,144,768,384,288,48,48
48,22,false,1440,288,144,768,192,192,48,48
48,23,true,2304,192,144,384,192,192,48,48
48,24,false,1440,192,144,384,192,144,48,48
48,25,false,1008,336,144,480,480,192,48,48
48,26,false,1008,240,144,480,288,144,48,48
48,27,false,1008,336,144,480,96,96,48,48
48,28,false,384,384,192,576,96,96,48,48
48,29,false,384,288,192,576,672,144,48,48
48,30,false,480,288,192,1056,384,192,48,48
48,31,false,768,192,336,384,384,192,48,48
48,32,false,672,288,336,384,192,192,48,48
48,33,false,672,192,336,384,384,144,48,48
48,34,false,864,864,96,1152,192,192,48,48
48,35,false,1152,576,96,1152,768,384,48,48
