Loaded 738 groups through order 81
Scanning orders 82 to 200

Order 82: 2 groups, cumulative 740 — PASS
Order 83: 1 groups, cumulative 741 — PASS
Order 84: 15 groups, cumulative 756 — PASS
Order 85: 1 groups, cumulative 757 — PASS
Order 86: 2 groups, cumulative 759 — PASS
Order 87: 1 groups, cumulative 760 — PASS
Order 88: 12 groups, cumulative 772 — PASS
Order 89: 1 groups, cumulative 773 — PASS
Order 90: 10 groups, cumulative 783 — PASS
Order 91: 1 groups, cumulative 784 — PASS
Order 92: 4 groups, cumulative 788 — PASS
Order 93: 2 groups, cumulative 790 — PASS
Order 94: 2 groups, cumulative 792 — PASS
Order 95: 1 groups, cumulative 793 — PASS
Order 96: 231 groups, cumulative 1024 — COLLISION (4 within-order)
Order 97: 1 groups, cumulative 1025 — PASS
Order 98: 5 groups, cumulative 1030 — PASS
Order 99: 2 groups, cumulative 1032 — PASS
Order 100: 16 groups, cumulative 1048 — COLLISION (1 within-order)
Order 101: 1 groups, cumulative 1049 — PASS
Order 102: 4 groups, cumulative 1053 — PASS
Order 103: 1 groups, cumulative 1054 — PASS
Order 104: 14 groups, cumulative 1068 — PASS
Order 105: 2 groups, cumulative 1070 — PASS
Order 106: 2 groups, cumulative 1072 — PASS
Order 107: 1 groups, cumulative 1073 — PASS
Order 108: 45 groups, cumulative 1118 — PASS
Order 109: 1 groups, cumulative 1119 — PASS
Order 110: 6 groups, cumulative 1125 — PASS
Order 111: 2 groups, cumulative 1127 — PASS
Order 112: 43 groups, cumulative 1170 — PASS
Order 113: 1 groups, cumulative 1171 — PASS
Order 114: 6 groups, cumulative 1177 — PASS
Order 115: 1 groups, cumulative 1178 — PASS
Order 116: 5 groups, cumulative 1183 — PASS
Order 117: 4 groups, cumulative 1187 — PASS
Order 118: 2 groups, cumulative 1189 — PASS
Order 119: 1 groups, cumulative 1190 — PASS
Order 120: 47 groups, cumulative 1237 — PASS
Order 121: 2 groups, cumulative 1239 — COLLISION (1 within-order)
